test_title,client_name,run_duration_ms,ingestion_timestamp,test_file,test_name,test_opcode,test_params,block_limit_million,opcount
test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka-blockchain_test-msg_size_1024-mem_size_32-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,32859,2026-03-18 17:53:33.831429246+00:00,test_keccak,test_keccak_diff_mem_msg_sizes,KECCAK256,msg_size_1024-mem_size_32,15,65125.0
test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka-blockchain_test-msg_size_256-mem_size_0-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,24251,2026-03-18 16:20:15.542034264+00:00,test_keccak,test_keccak_diff_mem_msg_sizes,KECCAK256,msg_size_256-mem_size_0,15,174168.0
test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka-blockchain_test-msg_size_256-mem_size_1024-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,24447,2026-03-20 04:52:45.824504395+00:00,test_keccak,test_keccak_diff_mem_msg_sizes,KECCAK256,msg_size_256-mem_size_1024,15,174167.0
test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka-blockchain_test-msg_size_256-mem_size_256-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,24148,2026-03-19 17:23:29.892284671+00:00,test_keccak,test_keccak_diff_mem_msg_sizes,KECCAK256,msg_size_256-mem_size_256,15,174168.0
test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka-blockchain_test-msg_size_256-mem_size_32-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,24044,2026-03-20 05:17:42.820310574+00:00,test_keccak,test_keccak_diff_mem_msg_sizes,KECCAK256,msg_size_256-mem_size_32,15,174168.0
test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka-blockchain_test-msg_size_32-mem_size_0-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,25948,2026-03-19 22:58:41.843242007+00:00,test_keccak,test_keccak_diff_mem_msg_sizes,KECCAK256,msg_size_32-mem_size_0,15,340411.0
test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka-blockchain_test-msg_size_32-mem_size_1024-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,26946,2026-03-19 03:20:21.695877252+00:00,test_keccak,test_keccak_diff_mem_msg_sizes,KECCAK256,msg_size_32-mem_size_1024,15,340407.0
test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka-blockchain_test-msg_size_32-mem_size_256-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,27153,2026-03-21 05:06:52.818261439+00:00,test_keccak,test_keccak_diff_mem_msg_sizes,KECCAK256,msg_size_32-mem_size_256,15,340409.0
test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka-blockchain_test-msg_size_32-mem_size_32-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,25547,2026-03-19 01:14:20.194707188+00:00,test_keccak,test_keccak_diff_mem_msg_sizes,KECCAK256,msg_size_32-mem_size_32,15,340409.0
test_keccak.py::test_keccak_max_permutations[fork_Osaka-blockchain_test-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,41265,2026-03-18 14:25:26.585922458+00:00,test_keccak,test_keccak_max_permutations,KECCAK256,,15,1219.0
test_alt_bn128.py::test_alt_bn128[fork_Osaka-blockchain_test-bn128_add-benchmark-gas-value_20M],ethrex-v9.0.0__zisk-v0.15.0,51580,2026-03-16 18:04:45.534891133+00:00,test_alt_bn128,test_alt_bn128,ECADD,bn128_add,20,74454.0
test_alt_bn128.py::test_alt_bn128[fork_Osaka-blockchain_test-bn128_add_1_2-benchmark-gas-value_20M],ethrex-v9.0.0__zisk-v0.15.0,47869,2026-03-16 06:56:03.648368115+00:00,test_alt_bn128,test_alt_bn128,ECADD,bn128_add_1_2,20,74465.0
test_alt_bn128.py::test_alt_bn128[fork_Osaka-blockchain_test-bn128_add_infinities-benchmark-gas-value_20M],ethrex-v9.0.0__zisk-v0.15.0,175853,2026-03-18 11:38:22.295841406+00:00,test_alt_bn128,test_alt_bn128,ECADD,bn128_add_infinities,20,74465.0
test_alt_bn128.py::test_alt_bn128[fork_Osaka-blockchain_test-bn128_one_pairing-benchmark-gas-value_20M],ethrex-v9.0.0__zisk-v0.15.0,32563,2026-03-18 05:41:37.599931114+00:00,test_alt_bn128,test_alt_bn128,ECPAIRING,bn128_one_pairing,20,255.0
test_alt_bn128.py::test_alt_bn128[fork_Osaka-blockchain_test-bn128_two_pairings-benchmark-gas-value_20M],ethrex-v9.0.0__zisk-v0.15.0,27450,2026-03-16 08:15:47.000613785+00:00,test_alt_bn128,test_alt_bn128,ECPAIRING,bn128_two_pairings,20,180.0
test_alt_bn128.py::test_alt_bn128[fork_Osaka-blockchain_test-ec_pairing_1_pair-benchmark-gas-value_20M],ethrex-v9.0.0__zisk-v0.15.0,3922,2026-03-17 03:50:44.042507120+00:00,test_alt_bn128,test_alt_bn128,ECPAIRING,ec_pairing_1_pair,20,445.0
test_alt_bn128.py::test_alt_bn128[fork_Osaka-blockchain_test-ec_pairing_1_pair_empty-benchmark-gas-value_20M],ethrex-v9.0.0__zisk-v0.15.0,4023,2026-03-17 19:06:48.053907734+00:00,test_alt_bn128,test_alt_bn128,ECPAIRING,ec_pairing_1_pair_empty,20,7.0
test_alt_bn128.py::test_alt_bn128[fork_Osaka-blockchain_test-ec_pairing_2_pair-benchmark-gas-value_20M],ethrex-v9.0.0__zisk-v0.15.0,27143,2026-03-16 00:43:32.377003417+00:00,test_alt_bn128,test_alt_bn128,ECPAIRING,ec_pairing_2_pair,20,180.0
test_alt_bn128.py::test_alt_bn128[fork_Osaka-blockchain_test-ec_pairing_2_sets-benchmark-gas-value_20M],ethrex-v9.0.0__zisk-v0.15.0,3923,2026-03-16 10:53:46.152783186+00:00,test_alt_bn128,test_alt_bn128,ECPAIRING,ec_pairing_2_sets,20,7.0
test_alt_bn128.py::test_alt_bn128[fork_Osaka-blockchain_test-ec_pairing_3_pair-benchmark-gas-value_20M],ethrex-v9.0.0__zisk-v0.15.0,4326,2026-03-16 01:52:55.000585662+00:00,test_alt_bn128,test_alt_bn128,ECPAIRING,ec_pairing_3_pair,20,7.0
test_alt_bn128.py::test_alt_bn128[fork_Osaka-blockchain_test-ec_pairing_4_pair-benchmark-gas-value_20M],ethrex-v9.0.0__zisk-v0.15.0,24350,2026-03-16 16:28:03.541086624+00:00,test_alt_bn128,test_alt_bn128,ECPAIRING,ec_pairing_4_pair,20,114.0
test_alt_bn128.py::test_alt_bn128[fork_Osaka-blockchain_test-ec_pairing_5_pair-benchmark-gas-value_20M],ethrex-v9.0.0__zisk-v0.15.0,21643,2026-03-16 13:30:59.533676009+00:00,test_alt_bn128,test_alt_bn128,ECPAIRING,ec_pairing_5_pair,20,97.0
test_alt_bn128.py::test_alt_bn128[fork_Osaka-blockchain_test-ec_pairing_zero_input-benchmark-gas-value_20M],ethrex-v9.0.0__zisk-v0.15.0,3925,2026-03-17 05:23:30.170664013+00:00,test_alt_bn128,test_alt_bn128,ECPAIRING,ec_pairing_zero_input,20,445.0
test_alt_bn128.py::test_alt_bn128_benchmark[fork_Osaka-blockchain_test-num_pairs_1-benchmark-gas-value_20M],ethrex-v9.0.0__zisk-v0.15.0,33655,2026-03-16 09:30:41.473207736+00:00,test_alt_bn128,test_alt_bn128_benchmark,ECPAIRING,num_pairs_1,20,255.0
test_alt_bn128.py::test_alt_bn128_benchmark[fork_Osaka-blockchain_test-num_pairs_12-benchmark-gas-value_20M],ethrex-v9.0.0__zisk-v0.15.0,18343,2026-03-18 10:08:36.565213522+00:00,test_alt_bn128,test_alt_bn128_benchmark,ECPAIRING,num_pairs_12,20,48.0
test_alt_bn128.py::test_alt_bn128_benchmark[fork_Osaka-blockchain_test-num_pairs_24-benchmark-gas-value_20M],ethrex-v9.0.0__zisk-v0.15.0,16940,2026-03-16 01:29:05.037023593+00:00,test_alt_bn128,test_alt_bn128_benchmark,ECPAIRING,num_pairs_24,20,28.0
test_alt_bn128.py::test_alt_bn128_benchmark[fork_Osaka-blockchain_test-num_pairs_3-benchmark-gas-value_20M],ethrex-v9.0.0__zisk-v0.15.0,25045,2026-03-15 21:07:24.011866305+00:00,test_alt_bn128,test_alt_bn128_benchmark,ECPAIRING,num_pairs_3,20,140.0
